UNICA WHITEFIELD;ÁCIDO BENZÓICO COMPOSTO POMADA;30G;1 PEÇAS
DERMICIDE;ÁCIDO FUSÍDICO POMADA;2%/15G;1 PEÇAS
TOPISOL;CLOBETASOL POMADA;30GM;1 PEÇAS
DICQUE RÁPIDO GEL;DICLOFENAC DIETILAMINA+ÓLEO DE LINAÇA+SALICILATO DE METILO+MENTOL GEL;30GM;1 PEÇAS
FOREDERM;DIPROPIONATO DE BETAMETASONA;30GM;1 PEÇAS
FOREDREM-CG;DIPROPIONATO DE BETAMETASONA, CLOTRIMAZOL & SULFTO DE GENTAMICINA CREME;30GM;1 PEÇAS
QLINDA GEL;FOSFATO DE CLINDAMICINA GEL USP 1%  W/W;30G;1 PEÇAS
BACISEPT;ZINCO DE BACITRACINA POMADA;500UI/30G;1 PEÇAS
