GENERICO NOME;FIO DE SUTURA (VIQUERYL) Nº 2/0 Agulha Redondo 1/2 30mm;Nº 2/0;12 PEÇAS
GENERICO NOME;FIO DE SUTURA (VIQUERYL) Nº 3 Agulha Curvado 1/2 45mm;Nº 3;12 PEÇAS
GENERICO NOME;FIO DE SUTURA (VIQUERYL) Nº 3 Agulha Redondo 1/2 45mm;Nº 3;12 PEÇAS
GENERICO NOME;FIO DE SUTURA (VIQUERYL) Nº 3/0 Agulha Curvado 1/2 30mm;Nº 3/0;12 PEÇAS
GENERICO NOME;FIO DE SUTURA (VIQUERYL) Nº 3/0 Agulha Redondo 1/2 30mm;Nº 3/0;12 PEÇAS
GENERICO NOME;FIO DE SUTURA (VIQUERYL) Nº 4/0 Agulha Curvado 1/2 25mm;Nº 4/0;12 PEÇAS
GENERICO NOME;FIO DE SUTURA (VIQUERYL) Nº 4/0 Agulha Redondo 1/2 25mm;Nº 4/0;12 PEÇAS
GENERICO NOME;FIO DE SUTURA (VIQUERYL) Nº 5/0 Agulha Curvado 1/2 20mm;Nº 5/0;12 PEÇAS
GENERICO NOME;FIO DE SUTURA (VIQUERYL) Nº 5/0 Agulha Redondo 1/2 20mm;Nº 5/0;12 PEÇAS
GENERICO NOME;FIO DE SUTURA (VIQUERYL) Nº 6/0 Agulha Curvado 1/2 20mm;Nº 6/0;12 PEÇAS
GENERICO NOME;FIO DE SUTURA (VIQUERYL) Nº 6/0 Agulha Redondo 1/2 20mm;Nº 6/0;12 PEÇAS
GENERICO NOME;LANCETA PARA COLETA DE SANGUE (PLÁSTICO);PLÁSTICO;100 PEÇAS
GENERICO NOME;LÂMINAS CIRÚRGICAS - BISTURI (ESTÉRIL) ;FR 18;100 PEÇAS
GENERICO NOME;LÂMINAS CIRÚRGICAS - BISTURI (ESTÉRIL) ;FR 20;100 PEÇAS
GENERICO NOME;LÂMINAS CIRÚRGICAS - BISTURI (ESTÉRIL) ;FR 21;100 PEÇAS
GENERICO NOME;LÂMINAS CIRÚRGICAS - BISTURI (ESTÉRIL) ;FR 22;100 PEÇAS
GENERICO NOME;LÂMINAS CIRÚRGICAS - BISTURI (ESTÉRIL) ;FR 23;100 PEÇAS
GENERICO NOME;LÂMINAS CIRÚRGICAS - BISTURI (ESTÉRIL) ;FR 24;100 PEÇAS
GENERICO NOME;LIGADURA;10 CM X 10 M;12 PEÇAS
GENERICO NOME;LIGADURA;19x15MESH, 15CM*4.5M;12 PEÇAS
GENERICO NOME;LIGADURA;15 CM X 10 M;12 PEÇAS
GENERICO NOME;LIGADURA ELASTICA ;5 CM X 4.5 M;12 PEÇA
GENERICO NOME;LIGADURA ELASTICA ;10 CM X 4.5 M;12 PEÇA
GENERICO NOME;LIGADURA ELASTICA ;15 CM X 4.5 M;12 PEÇA
GENERICO NOME;LUVAS DE LÁTEX- CERÚGICAS;6.5 POLEGADAS;50 PARES
GENERICO NOME;LUVAS DE LÁTEX- CERÚGICAS;7 POLEGADAS;50 PARES
